City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Namatanai,PG,2022-12-27 03:46:11,-3.6667,152.4333,84.83,66,46,11.18
97,Pevek,RU,2022-12-27 03:46:12,69.7008,170.3133,-14.98,100,100,2.98
98,Oum Hadjer,TD,2022-12-27 03:46:12,13.2954,19.6966,60.4,26,0,10.0
99,Penalva,BR,2022-12-27 03:46:13,-3.2942,-45.1736,73.17,97,100,1.81
100,Bara,NG,2022-12-27 03:46:14,10.3744,10.7288,59.49,41,1,7.02
101,Luderitz,NA,2022-12-27 03:46:14,-26.6481,15.1594,61.21,80,0,8.75
102,Saint-Philippe,RE,2022-12-27 03:46:14,-21.3585,55.7679,81.99,78,17,13.67
103,Qaanaaq,GL,2022-12-27 03:46:15,77.484,-69.3632,-10.71,98,100,2.86
104,Kampot,KH,2022-12-27 03:46:15,10.6167,104.1833,84.25,53,64,9.91
105,Susanville,US,2022-12-27 03:42:34,40.4163,-120.653,49.84,46,20,8.05
106,Plettenberg Bay,ZA,2022-12-27 03:46:16,-34.0527,23.3716,66.72,68,5,3.49
107,Norman Wells,CA,2022-12-27 03:46:17,65.282,-126.8329,-12.96,70,20,11.5
108,Carutapera,BR,2022-12-27 03:46:17,-1.195,-46.02,77.11,87,94,6.4
109,Saint Anthony,US,2022-12-27 03:46:18,45.0205,-93.218,5.95,74,0,5.75
110,Villamontes,BO,2022-12-27 03:46:18,-21.25,-63.5,67.64,68,100,1.39
111,Indramayu,ID,2022-12-27 03:46:19,-6.3264,108.32,83.08,69,99,19.33
112,Megion,RU,2022-12-27 03:46:20,61.0296,76.1136,17.62,96,23,9.37
113,Provideniya,RU,2022-12-27 03:46:20,64.3833,-173.3,17.71,49,0,20.13
114,Northam,GB,2022-12-27 03:46:21,51.0333,-4.2167,44.26,96,96,10.58
115,Ixtapa,MX,2022-12-27 03:46:21,20.7,-105.2,70.83,83,0,2.3
116,Okhotsk,RU,2022-12-27 03:42:38,59.3833,143.3,-2.72,79,16,18.97
117,Kaeo,NZ,2022-12-27 03:46:22,-35.1,173.7833,75.33,71,69,4.9
118,Geraldton,AU,2022-12-27 03:46:22,-28.7667,114.6,82.81,42,0,21.85
119,Morondava,MG,2022-12-27 03:46:23,-20.2833,44.2833,77.49,65,2,3.83
120,Kapaa,US,2022-12-27 03:46:24,22.0752,-159.319,80.58,86,75,6.91
121,Nanortalik,GL,2022-12-27 03:46:25,60.1432,-45.2371,25.79,72,100,10.69
122,Lompoc,US,2022-12-27 03:44:44,34.6391,-120.4579,55.94,93,100,0.0
123,Tigbinan,PH,2022-12-27 03:46:25,14.1865,122.4692,75.99,74,100,12.01
124,Chokurdakh,RU,2022-12-27 03:46:27,70.6333,147.9167,-24.75,98,100,4.81
125,Bredasdorp,ZA,2022-12-27 03:46:27,-34.5322,20.0403,63.01,77,2,3.15
126,Mecca,SA,2022-12-27 03:41:36,21.4267,39.8261,62.74,61,0,6.91
127,Vila Velha,BR,2022-12-27 03:46:28,-20.3297,-40.2925,74.95,92,20,2.3
128,Muravlenko,RU,2022-12-27 03:46:29,63.7898,74.523,2.34,97,82,12.97
129,Kontagora,NG,2022-12-27 03:46:29,10.3999,5.4695,67.59,32,3,8.23
130,Lydenburg,ZA,2022-12-27 03:46:29,-25.0978,30.4597,65.39,94,46,2.24
131,Zhuhai,CN,2022-12-27 03:46:30,22.2769,113.5678,65.98,68,0,9.22
132,Muros,ES,2022-12-27 03:46:30,42.7762,-9.0603,43.68,84,6,3.67
133,Maniitsoq,GL,2022-12-27 03:46:31,65.4167,-52.9,17.8,52,15,6.98
134,Ancud,CL,2022-12-27 03:46:31,-41.8697,-73.8203,47.44,76,10,6.69
135,Kununurra,AU,2022-12-27 03:46:32,-15.7667,128.7333,94.98,66,100,5.75
136,Pringsewu,ID,2022-12-27 03:46:32,-5.3582,104.9744,81.95,67,100,1.99
137,Cortez,US,2022-12-27 03:46:33,37.3489,-108.5859,37.71,69,0,4.61
138,Saint George,US,2022-12-27 03:46:33,37.1041,-113.5841,48.79,49,0,3.44
139,Coihaique,CL,2022-12-27 03:45:24,-45.5752,-72.0662,48.15,49,0,6.91
140,Nizhnyaya Poyma,RU,2022-12-27 03:46:34,56.1622,97.1933,21.38,94,100,7.52
141,Kyren,RU,2022-12-27 03:46:34,51.6828,102.1408,6.98,78,17,0.27
142,Souillac,MU,2022-12-27 03:46:35,-20.5167,57.5167,79.18,69,40,11.5
143,Uinskoye,RU,2022-12-27 03:46:35,56.8817,56.5813,-10.17,100,100,1.07
144,Umm Lajj,SA,2022-12-27 03:46:36,25.0213,37.2685,66.88,66,78,17.9
145,Cherskiy,RU,2022-12-27 03:46:36,68.75,161.3,-15.95,100,100,3.87
146,Osorno,CL,2022-12-27 03:46:37,-40.5667,-73.15,57.51,67,100,6.91
147,Mercedes,AR,2022-12-27 03:46:37,-34.6515,-59.4307,67.03,53,0,6.49
148,Klaksvik,FO,2022-12-27 03:46:37,62.2266,-6.589,29.32,69,99,24.32
149,Touba,CI,2022-12-27 03:46:38,8.2833,-7.6833,66.34,30,1,1.97
150,Lasa,IT,2022-12-27 03:46:38,46.6166,10.7002,33.03,89,48,6.17
151,Zhigansk,RU,2022-12-27 03:46:39,66.7697,123.3711,-15.07,98,100,21.94
152,Krasnovishersk,RU,2022-12-27 03:46:39,60.4078,57.082,-3.6,100,100,3.18
153,Natal,BR,2022-12-27 03:43:46,-5.795,-35.2094,77.65,83,40,4.61
154,Xai-Xai,MZ,2022-12-27 03:46:40,-25.0519,33.6442,74.86,83,83,3.04
155,Nikolskoye,RU,2022-12-27 03:46:40,59.7035,30.7861,19.29,90,60,12.01
156,Pontian Kecil,MY,2022-12-27 03:46:41,1.4801,103.3899,88.02,71,100,3.89
157,Boralday,KZ,2022-12-27 03:46:41,43.3578,76.8594,13.86,85,40,4.47
158,Oktyabrskiy,RU,2022-12-27 03:46:42,54.4815,53.471,19.83,97,100,4.32
159,Acari,PE,2022-12-27 03:46:42,-15.4311,-74.6158,71.69,87,76,2.46
160,Kirkland Lake,CA,2022-12-27 03:46:43,48.1446,-80.0377,1.11,93,100,5.48
161,Sao Goncalo Do Amarante,BR,2022-12-27 03:46:43,-3.6072,-38.9683,80.13,78,30,6.69
162,Grindavik,IS,2022-12-27 03:46:44,63.8424,-22.4338,28.87,93,100,13.8
163,Tuktoyaktuk,CA,2022-12-27 03:46:44,69.4541,-133.0374,-25.6,75,0,10.36
164,Samarai,PG,2022-12-27 03:46:45,-10.6167,150.6667,82.65,78,100,9.8
165,Caxias,PT,2022-12-27 03:46:45,38.7031,-9.2767,58.91,78,100,5.75
166,Ostroleka,PL,2022-12-27 03:46:46,53.0862,21.5757,44.92,82,100,15.14
167,Bulungu,CD,2022-12-27 03:46:46,-4.55,18.6,69.82,92,100,1.14
168,Ibrany,HU,2022-12-27 03:46:47,48.1333,21.7167,43.88,93,100,6.73
169,Barranca,PE,2022-12-27 03:46:47,-10.75,-77.7667,69.17,80,98,6.44
170,Blackwater,AU,2022-12-27 03:46:48,-23.5833,148.8833,85.51,39,51,17.87
171,Narsaq,GL,2022-12-27 03:46:48,60.9167,-46.05,34.02,79,100,7.18
