City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
119,Saint-Philippe,RE,-21.3585,55.7679,85.59,72,24,12.64,few clouds
120,Southampton,GB,50.904,-1.4043,52.45,95,75,18.41,light intensity drizzle rain
121,Pevek,RU,69.7008,170.3133,-8.75,100,100,6.04,overcast clouds
122,Huanren,CN,41.2647,125.3667,16.09,49,40,5.1,scattered clouds
123,Union,US,40.6334,-74.2663,35.49,69,100,4.61,overcast clouds
124,Liverpool,GB,53.4106,-2.9779,44.82,87,20,8.05,few clouds
125,Devonport,AU,-41.1667,146.35,70.09,44,55,15.28,broken clouds
126,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,0,2.3,clear sky
127,Ixtapa,MX,20.7,-105.2,69.22,77,3,3.18,clear sky
128,Tazovskiy,RU,67.4667,78.7,-17.41,98,70,8.43,broken clouds
129,Nantucket,US,41.2835,-70.0995,32.11,65,100,0.0,overcast clouds
130,Pakxan,LA,18.3778,103.6601,83.07,40,83,3.49,broken clouds
131,Necochea,AR,-38.5473,-58.7368,60.82,84,100,13.96,overcast clouds
132,Dikson,RU,73.5069,80.5464,-21.15,97,94,1.92,overcast clouds
133,Nikolskoye,RU,59.7035,30.7861,33.69,95,99,7.61,overcast clouds
134,Kodiak,US,57.79,-152.4072,24.31,93,0,5.75,clear sky
135,Falun,SE,60.6036,15.626,14.95,87,75,2.57,broken clouds
136,Salalah,OM,17.0151,54.0924,78.89,57,0,3.44,clear sky
137,Mgandu,TZ,-5.95,34.1333,59.68,96,100,2.89,light rain
138,Fortuna,US,40.5982,-124.1573,48.34,96,100,0.0,overcast clouds
139,Caravelas,BR,-17.7125,-39.2481,72.21,95,99,2.84,overcast clouds
140,Cherskiy,RU,68.75,161.3,-9.94,99,100,3.02,overcast clouds
141,Aykhal,RU,66.0,111.5,-1.97,96,87,14.88,overcast clouds
142,Port Elizabeth,ZA,-33.918,25.5701,72.1,73,75,16.11,broken clouds
143,Warwick,US,41.7001,-71.4162,29.91,72,0,0.0,clear sky
144,Leningradskiy,RU,69.3833,178.4167,-23.62,99,90,5.75,overcast clouds
145,Haines Junction,CA,60.7522,-137.5108,3.15,85,100,0.0,overcast clouds
146,Tairua,NZ,-37.0167,175.85,69.22,70,1,6.4,clear sky
147,Kapaa,US,22.0752,-159.319,75.52,92,20,9.22,few clouds
148,Talnakh,RU,69.4865,88.3972,-9.74,98,90,4.16,overcast clouds
149,Nanortalik,GL,60.1432,-45.2371,23.99,91,100,1.16,overcast clouds
150,Teguise,ES,29.0605,-13.564,64.62,77,0,11.5,clear sky
151,Husavik,IS,66.0449,-17.3389,21.24,90,100,19.42,light snow
152,Gat,IL,31.61,34.7642,58.41,100,35,3.33,scattered clouds
153,Victoria,HK,22.2855,114.1577,72.19,59,73,11.01,broken clouds
154,Georgetown,MY,5.4112,100.3354,89.53,61,20,10.36,few clouds
155,Anadyr,RU,64.75,177.4833,-17.12,89,3,9.28,clear sky
156,Chokurdakh,RU,70.6333,147.9167,-26.23,100,97,7.2,overcast clouds
157,Chilliwack,CA,49.1747,-121.9443,46.53,98,100,8.01,moderate rain
158,Lorengau,PG,-2.0226,147.2712,82.92,74,99,8.63,overcast clouds
159,Batemans Bay,AU,-35.7167,150.1833,74.1,38,1,15.84,clear sky
160,Antofagasta,CL,-23.65,-70.4,63.68,77,9,2.84,clear sky
161,Kashi,CN,39.4547,75.9797,29.41,43,67,2.24,broken clouds
162,Obo,CF,5.3998,26.4869,71.26,25,77,8.3,broken clouds
163,Biak,ID,-0.9131,122.8766,82.6,68,100,0.94,overcast clouds
164,Beringovskiy,RU,63.05,179.3167,-2.49,98,99,19.8,light snow
165,Wawa,NG,9.9022,4.4192,67.23,35,0,5.1,clear sky
166,Murray Bridge,AU,-35.1167,139.2667,68.13,45,0,19.66,clear sky
167,Tiebissou,CI,7.1574,-5.2257,62.69,53,3,2.39,clear sky
168,Vanimo,PG,-2.6741,141.3028,81.55,83,98,7.52,overcast clouds
169,Les Cayes,HT,18.2,-73.75,72.68,78,4,3.53,clear sky
170,Pisco,PE,-13.7,-76.2167,69.85,88,75,3.44,broken clouds
171,Ambilobe,MG,-13.2,49.05,83.91,68,31,0.43,light rain
172,Ribeira Grande,PT,38.5167,-28.7,59.77,94,87,3.0,overcast clouds
173,Codrington,AU,-38.2667,141.9667,63.07,53,16,17.27,few clouds
